id,link,zimu_num,shuzi,zifu_num,url_T_zifu_num,inner,out,sum,bili,iframe_num,location_num,eval_num,setTimeout_num,setInterval_num,scriptObjectsrc_num,scriptObjectsetAttribute_num,scriptObjectinnerHTML_num,windowopen_num,label
1,http://www.espdesign.com.au,21,0,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1
2,http://www.iamagameaddict.com,24,0,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
3,http://www.kalantzis.net,19,0,5,0,3,0,3,1,0,0,0,0,0,0,0,0,0,1
4,http://www.slightlyoffcenter.net,27,0,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
5,http://www.tubemoviez.com,20,0,5,0,33,0,33,1,0,8,0,0,0,0,0,0,0,1
6,http://www.ipl.hk,12,0,5,0,0,0,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
7,http://www.pos-kupang.com/,19,0,7,1,0,8,8,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
8,http://www.rupor.info,16,0,5,0,955,1379,2334,0.4091688,1,4,1,0,0,0,0,0,2,1
9,http://www.officeon.ch.ma/office.js?google_ad_format=728x90_as,44,5,13,5,0,0,0,,0,3,0,1,0,0,0,0,1,1
10,http://www.sunlux.net/company/about.html,32,0,8,0,0,108,108,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
11,http://www.outporn.com,17,0,5,0,0,958,958,0,0,2,0,0,1,0,0,0,0,1
12,http://www.timothycopus.aimoo.com,27,0,6,0,32,0,32,1,0,1,0,0,0,0,0,0,0,1
13,http://www.orbowlada.strefa.pl/text396.htm,31,3,8,0,,,,,18,46,0,10,0,0,0,0,4,1
14,http://www.ruiyangcn.com,19,0,5,0,0,0,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
15,http://www.zkic.com,14,0,5,0,640,86,726,0.8815427,0,0,0,0,0,0,0,0,0,1
16,http://www.cracks.vg/d1.php,19,1,7,0,44,88,132,0.3333333,0,0,0,0,0,0,0,0,0,1
17,http://www.juicypussyclips.com,25,0,5,0,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
18,http://www.nuptialimages.com,23,0,5,0,0,50,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
19,http://www.bezproudoff.cz,20,0,5,0,51,0,51,1,0,0,0,0,0,0,0,0,0,1
20,http://www.ceskarepublika.net,24,0,5,0,,,,,0,0,0,0,0,0,0,0,0,1
21,http://www.hotspot.cz,16,0,5,0,0,107,107,0,0,0,0,0,0,0,0,0,0,1
22,http://www.gmcjjh.org/DHL,19,0,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
23,http://www.nerez-schodiste-zabradli.com,32,0,7,2,,,,,0,1,0,0,0,0,0,0,0,1
24,http://www.nordiccountry.cz,22,0,5,0,0,0,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
25,http://www.nowina.info,17,0,5,0,850,330,1182,0.7208,0,1,0,0,0,0,0,0,0,1
26,http://www.obada-konstruktiwa.org,27,0,6,1,0,66,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
27,http://www.otylkaaotesanek.cz,24,0,5,0,544,0,544,1,0,0,0,0,0,0,0,0,0,1
28,http://www.pb-webdesign.net,21,0,6,1,0,71,71,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
29,http://www.pension-helene.cz,22,0,6,1,692,0,692,0,0,0,0,0,0,0,0,0,0,1
30,http://www.podzemi.myotis.info,24,0,6,0,156,0,156,1,0,0,0,0,0,0,0,0,0,1
31,http://www.smrcek.com,16,0,5,0,712,720,1432,0.4972,0,0,0,0,0,0,0,0,0,1
32,http://www.spekband.com,18,0,5,0,0,0,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
33,http://www.worldgymperu.com,22,0,5,0,0,82,82,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
34,http://www.zgsysz.com,16,0,5,0,,,,,2,4,0,1,0,0,0,0,1,1
35,http://www.oknarai.ru,16,0,5,0,1505,6302,7807,0.1927757,0,1,0,0,1,0,0,0,1,1
36,http://www.realinnovation.com/css/menu.js,33,0,8,0,0,190,190,0,0,4,0,0,0,0,0,0,0,1
37,http://www.hardcorepornparty.com,27,0,5,0,,,,,0,1,0,0,0,0,0,0,1,1
38,http://www.zous.szm.sk,16,0,6,0,415,831,1246,0.33306,0,2,0,0,0,0,0,0,0,1
39,http://www.noveslovo.com,19,0,5,0,1568,522,2090,0.75023,0,2,0,0,0,0,0,0,0,1
40,http://www.dimsnetwork.com,21,0,5,0,0,106,106,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
41,http://www.luckyblank.info,21,0,5,0,,,,,0,2,0,0,0,0,0,0,2,1
42,http://www.luckyclean.info,21,0,5,0,0,17,17,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
43,http://www.luckyclear.info,21,0,5,0,0,22,22,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
